task_id,constraint_type,selection_score,developer_correct,developer_status,baseline_correct,baseline_adherent,baseline_joint_outcome,baseline_total_tokens,experimental_correct,experimental_adherent,experimental_joint_outcome,experimental_total_tokens,baseline_method,experimental_method
HumanEval/31,Structural,22.905,True,passed,True,False,correct_not_adherent,593,True,True,correct_and_adherent,811,deterministic_ast,deterministic_ast
HumanEval/129,Efficiency,22.418,True,passed,True,False,correct_not_adherent,1330,False,False,incorrect_not_adherent,1639,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/109,Structural,21.612,True,passed,True,False,correct_not_adherent,384,True,True,correct_and_adherent,1265,deterministic_ast,deterministic_ast
HumanEval/40,Efficiency,21.491,True,passed,True,False,correct_not_adherent,925,False,False,incorrect_not_adherent,827,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/68,Structural,21.46,True,passed,False,False,incorrect_not_adherent,777,True,True,correct_and_adherent,1665,deterministic_ast,deterministic_ast
HumanEval/51,Negative,21.438,False,syntax_error,True,False,correct_not_adherent,397,True,True,correct_and_adherent,594,llm_judge,llm_judge
HumanEval/54,Efficiency,21.352,True,passed,True,True,correct_and_adherent,401,True,True,correct_and_adherent,691,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/43,Negative,21.225,False,syntax_error,False,False,incorrect_not_adherent,245,True,False,correct_not_adherent,681,llm_judge,llm_judge
HumanEval/32,Efficiency,18.95,False,syntax_error,False,True,incorrect_adherent,240,False,True,incorrect_adherent,889,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/115,Structural,18.938,False,runtime_error,False,False,incorrect_not_adherent,185,True,True,correct_and_adherent,824,deterministic_ast,deterministic_ast
HumanEval/159,Structural,18.915,True,passed,False,False,incorrect_not_adherent,175,False,False,incorrect_not_adherent,604,deterministic_ast,deterministic_ast
HumanEval/39,Negative,18.207,False,syntax_error,False,False,incorrect_not_adherent,185,False,True,incorrect_adherent,404,llm_judge,llm_judge
HumanEval/153,Negative,17.962,False,syntax_error,True,False,correct_not_adherent,1225,False,True,incorrect_adherent,585,llm_judge,llm_judge
HumanEval/10,Negative,17.853,True,passed,True,True,correct_and_adherent,552,True,False,correct_not_adherent,954,llm_judge,llm_judge
HumanEval/116,Negative,17.745,True,passed,True,False,correct_not_adherent,386,True,False,correct_not_adherent,838,llm_judge,llm_judge
HumanEval/25,Efficiency,17.732,True,passed,True,False,correct_not_adherent,451,True,False,correct_not_adherent,764,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/99,Structural,17.556,True,passed,True,False,correct_not_adherent,464,True,True,correct_and_adherent,851,deterministic_ast,deterministic_ast
HumanEval/60,Negative,17.442,True,passed,True,True,correct_and_adherent,325,True,True,correct_and_adherent,556,llm_judge,llm_judge
HumanEval/56,Efficiency,17.082,True,passed,True,True,correct_and_adherent,346,True,True,correct_and_adherent,604,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/61,Negative,17.082,True,passed,True,True,correct_and_adherent,352,True,True,correct_and_adherent,601,llm_judge,llm_judge
HumanEval/113,Structural,16.962,True,passed,True,False,correct_not_adherent,337,True,True,correct_and_adherent,805,deterministic_ast,deterministic_ast
HumanEval/128,Negative,16.955,True,passed,True,False,correct_not_adherent,640,True,True,correct_and_adherent,841,llm_judge,llm_judge
HumanEval/156,Negative,16.872,True,passed,True,True,correct_and_adherent,821,True,True,correct_and_adherent,976,llm_judge,llm_judge
HumanEval/49,Negative,16.814,True,passed,True,False,correct_not_adherent,373,True,True,correct_and_adherent,671,llm_judge,llm_judge
HumanEval/120,Efficiency,16.623,True,passed,False,False,incorrect_not_adherent,909,True,False,correct_not_adherent,1292,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/108,Negative,16.553,True,passed,True,True,correct_and_adherent,877,True,True,correct_and_adherent,1092,llm_judge,llm_judge
HumanEval/105,Structural,16.482,False,runtime_error,True,False,correct_not_adherent,1161,True,False,correct_not_adherent,1891,deterministic_ast,deterministic_ast
HumanEval/48,Efficiency,16.388,True,passed,True,True,correct_and_adherent,232,True,True,correct_and_adherent,428,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/149,Structural,16.047,True,passed,True,False,correct_not_adherent,972,True,False,correct_not_adherent,1786,deterministic_ast,deterministic_ast
HumanEval/87,Negative,15.991,True,passed,True,False,correct_not_adherent,1021,True,False,correct_not_adherent,1582,llm_judge,llm_judge
HumanEval/160,Structural,15.979,False,runtime_error,False,True,incorrect_adherent,952,False,True,incorrect_adherent,1242,deterministic_ast,deterministic_ast
HumanEval/78,Negative,15.945,True,passed,True,True,correct_and_adherent,789,True,True,correct_and_adherent,1329,llm_judge,llm_judge
HumanEval/81,Efficiency,15.893,True,passed,True,True,correct_and_adherent,661,True,True,correct_and_adherent,981,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/123,Efficiency,15.715,True,passed,True,False,correct_not_adherent,429,True,False,correct_not_adherent,924,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/12,Structural,15.673,True,passed,True,False,correct_not_adherent,422,True,True,correct_and_adherent,706,deterministic_ast,deterministic_ast
HumanEval/124,Structural,15.607,True,passed,True,False,correct_not_adherent,741,True,False,correct_not_adherent,1376,deterministic_ast,deterministic_ast
HumanEval/127,Efficiency,15.602,True,passed,True,True,correct_and_adherent,330,True,True,correct_and_adherent,765,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/46,Efficiency,15.485,True,passed,True,True,correct_and_adherent,744,True,True,correct_and_adherent,999,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/63,Negative,15.341,True,passed,True,False,correct_not_adherent,558,True,False,correct_not_adherent,887,llm_judge,llm_judge
HumanEval/126,Structural,15.307,True,passed,True,False,correct_not_adherent,429,True,True,correct_and_adherent,877,deterministic_ast,deterministic_ast
HumanEval/44,Efficiency,15.295,True,passed,True,True,correct_and_adherent,396,True,True,correct_and_adherent,617,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/141,Structural,15.053,True,passed,True,False,correct_not_adherent,439,True,True,correct_and_adherent,984,deterministic_ast,deterministic_ast
HumanEval/17,Negative,14.992,False,runtime_error,True,True,correct_and_adherent,420,True,True,correct_and_adherent,980,llm_judge,llm_judge
HumanEval/20,Efficiency,14.931,True,passed,True,False,correct_not_adherent,591,True,False,correct_not_adherent,904,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/64,Efficiency,14.857,True,passed,True,True,correct_and_adherent,551,True,True,correct_and_adherent,774,deterministic_static_heuristic,deterministic_static_heuristic
