task_id,constraint_type,selection_score,developer_correct,developer_status,baseline_correct,baseline_adherent,baseline_joint_outcome,baseline_total_tokens,experimental_correct,experimental_adherent,experimental_joint_outcome,experimental_total_tokens,baseline_method,experimental_method
HumanEval/31,Structural,22.905,True,passed,True,False,correct_not_adherent,493,True,False,correct_not_adherent,656,deterministic_ast,deterministic_ast
HumanEval/129,Efficiency,22.418,True,passed,True,False,correct_not_adherent,613,True,False,correct_not_adherent,1203,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/109,Structural,21.612,True,passed,True,False,correct_not_adherent,384,True,False,correct_not_adherent,831,deterministic_ast,deterministic_ast
HumanEval/40,Efficiency,21.491,True,passed,True,False,correct_not_adherent,565,True,False,correct_not_adherent,794,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/68,Structural,21.46,True,passed,True,False,correct_not_adherent,283,True,False,correct_not_adherent,723,deterministic_ast,deterministic_ast
HumanEval/51,Negative,21.438,True,passed,True,False,correct_not_adherent,436,True,False,correct_not_adherent,609,llm_judge,llm_judge
HumanEval/54,Efficiency,21.352,True,passed,True,True,correct_and_adherent,405,True,True,correct_and_adherent,601,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/43,Negative,21.225,True,passed,True,False,correct_not_adherent,412,True,False,correct_not_adherent,756,llm_judge,llm_judge
HumanEval/32,Efficiency,18.95,False,runtime_error,False,True,incorrect_adherent,744,False,True,incorrect_adherent,1073,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/115,Structural,18.938,True,passed,True,False,correct_not_adherent,291,True,False,correct_not_adherent,697,deterministic_ast,deterministic_ast
HumanEval/159,Structural,18.915,True,passed,True,False,correct_not_adherent,196,True,False,correct_not_adherent,557,deterministic_ast,deterministic_ast
HumanEval/39,Negative,18.207,True,passed,True,True,correct_and_adherent,329,True,False,correct_not_adherent,499,llm_judge,llm_judge
HumanEval/153,Negative,17.962,True,passed,True,False,correct_not_adherent,300,True,False,correct_not_adherent,654,llm_judge,llm_judge
HumanEval/10,Negative,17.853,True,passed,True,True,correct_and_adherent,552,True,True,correct_and_adherent,728,llm_judge,llm_judge
HumanEval/116,Negative,17.745,True,passed,True,False,correct_not_adherent,386,True,False,correct_not_adherent,658,llm_judge,llm_judge
HumanEval/25,Efficiency,17.732,True,passed,True,False,correct_not_adherent,451,True,False,correct_not_adherent,655,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/99,Structural,17.556,True,passed,True,False,correct_not_adherent,464,True,False,correct_not_adherent,667,deterministic_ast,deterministic_ast
HumanEval/60,Negative,17.442,True,passed,True,True,correct_and_adherent,325,True,True,correct_and_adherent,482,llm_judge,llm_judge
HumanEval/56,Efficiency,17.082,True,passed,True,True,correct_and_adherent,346,True,True,correct_and_adherent,474,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/61,Negative,17.082,True,passed,True,True,correct_and_adherent,352,True,True,correct_and_adherent,474,llm_judge,llm_judge
HumanEval/113,Structural,16.962,True,passed,True,False,correct_not_adherent,337,True,False,correct_not_adherent,626,deterministic_ast,deterministic_ast
HumanEval/128,Negative,16.955,True,passed,True,True,correct_and_adherent,286,True,False,correct_not_adherent,482,llm_judge,llm_judge
HumanEval/156,Negative,16.872,True,passed,True,False,correct_not_adherent,636,True,True,correct_and_adherent,743,llm_judge,llm_judge
HumanEval/49,Negative,16.814,True,passed,True,False,correct_not_adherent,373,True,False,correct_not_adherent,530,llm_judge,llm_judge
HumanEval/120,Efficiency,16.623,True,passed,True,False,correct_not_adherent,289,True,False,correct_not_adherent,556,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/108,Negative,16.553,True,passed,True,False,correct_not_adherent,414,True,False,correct_not_adherent,597,llm_judge,llm_judge
HumanEval/105,Structural,16.482,True,passed,True,False,correct_not_adherent,580,True,False,correct_not_adherent,897,deterministic_ast,deterministic_ast
HumanEval/48,Efficiency,16.388,True,passed,True,True,correct_and_adherent,232,True,True,correct_and_adherent,343,deterministic_static_heuristic,deterministic_static_heuristic
HumanEval/149,Structural,16.047,True,passed,True,False,correct_not_adherent,416,True,False,correct_not_adherent,683,deterministic_ast,deterministic_ast
HumanEval/87,Negative,15.991,True,passed,True,False,correct_not_adherent,423,True,False,correct_not_adherent,788,llm_judge,llm_judge
HumanEval/160,Structural,15.979,True,passed,True,False,correct_not_adherent,455,True,False,correct_not_adherent,745,deterministic_ast,deterministic_ast
HumanEval/78,Negative,15.945,True,passed,True,False,correct_not_adherent,178,True,True,correct_and_adherent,620,llm_judge,llm_judge
HumanEval/81,Efficiency,15.893,True,passed,True,True,correct_and_adherent,529,True,True,correct_and_adherent,871,deterministic_static_heuristic,deterministic_static_heuristic
